5414,1.08,1023,1022,1008,998,983
5449,1.08,1023,1022,1010,999,981
5483,1.08,1023,1023,1010,998,980
5518,1.08,1023,1023,1012,997,979
5552,1.08,1023,1023,1012,996,978
5586,1.08,1023,1023,1013,995,978
5620,1.08,1022,1021,1012,994,978
5655,1.08,1023,1023,1011,993,979
5689,1.08,1022,1023,1012,993,982
5724,1.08,1023,1023,1012,993,983
5757,1.08,1023,1023,1010,993,985
5792,1.08,1023,1022,1009,994,985
5826,1.08,1023,1023,1008,995,986
5861,1.08,1023,1023,1007,996,986
5896,1.07,1023,1022,1008,997,986
5929,1.07,1023,1022,1007,998,987
5964,1.08,1023,1023,1008,999,986
5998,1.07,1023,1023,1009,999,984
6033,1.08,1023,1023,1011,998,982
6067,1.08,1023,1023,1011,998,982
6102,1.08,1022,1023,1012,997,981
6135,1.08,1023,1023,1012,996,981
6170,1.08,1023,1023,1012,995,981
6204,1.08,1023,1023,1012,995,982
6239,1.08,1022,1023,1011,995,982
6273,1.08,1022,1023,1012,995,983
6307,1.08,1023,1023,1010,995,984
6341,1.08,1023,1023,1009,995,984
6376,1.08,1023,1023,1010,995,984
6410,1.07,1023,1022,1009,996,984
6445,1.07,1023,1022,1009,996,984
6478,1.08,1023,1021,1009,997,985
6513,1.08,1023,1023,1009,997,984
6547,1.08,1023,1023,1011,998,984
6582,1.08,1023,1023,1011,998,984
6616,1.08,1023,1023,1010,998,983
6650,1.08,1023,1023,1011,997,982
6684,1.08,1023,1023,1011,997,982
6719,1.08,1022,1023,1012,997,982
6753,1.08,1022,1023,1012,996,982
6788,1.08,1022,1023,1012,996,982
6821,1.08,1022,1023,1011,996,982
6856,1.08,1023,1023,1012,995,983
6890,1.08,1023,1023,1010,995,985
6925,1.08,1023,1023,1009,992,984
6959,1.08,1023,1022,1009,992,984
6993,1.08,1023,1023,1009,994,985
7028,1.08,1023,1023,1007,995,985
7062,1.08,1023,1023,1008,996,987
7097,1.08,1023,1023,1008,998,988
7131,1.07,1022,1023,1009,998,987
7165,1.07,1023,1023,1009,999,986
7199,1.08,1022,1023,1009,999,984
7234,1.07,1023,1023,1011,999,982
7268,1.08,1023,1023,1011,998,981
7303,1.08,1022,1023,1011,997,979
7336,1.08,1023,1022,1011,995,978
7371,1.08,1023,1023,1010,995,981
7405,1.08,1023,1022,1010,995,981
7440,1.08,1023,1021,1010,994,982
7474,1.08,1023,1023,1010,995,983
7508,1.08,1023,1022,1009,994,983
7542,1.08,1023,1022,1010,995,984
7577,1.08,1023,1023,1010,995,988
7611,1.08,1023,1023,1009,996,988
7646,1.08,1022,1023,1009,997,988
7680,1.08,1023,1023,1008,997,988
7714,1.08,1023,1023,1008,998,988
7748,1.07,1023,1023,1010,999,987
7783,1.07,1022,1023,1011,1000,983
7818,1.08,1023,1023,1010,999,982
7853,1.08,1023,1021,1009,997,980
7886,1.08,1023,1021,1011,996,978
7921,1.08,1023,1023,1011,994,977
7955,1.08,1023,1023,1012,994,977
7990,1.08,1023,1023,1012,994,978
8024,1.08,1023,1023,1013,994,981
8058,1.08,1023,1023,1012,994,983
8093,1.08,1023,1023,1011,994,984
8127,1.08,1023,1023,1011,992,983
8162,1.08,0,1023,1010,990,981
8193,1.08,0,1022,1012,990,975
8223,1.08,0,1023,1015,995,973
8255,0.89,0,1023,1013,1000,975
8287,0.93,0,1023,1010,1001,978
8320,0.97,0,1021,1008,1002,982
8351,0.99,0,1023,1009,1005,989
8384,1.01,1023,1021,1010,999,989
8418,1.02,1023,1022,1009,997,985
8453,1.03,1023,1021,1009,995,980
8486,1.04,1023,1022,1012,997,978
8521,1.05,1023,1023,1012,996,977
8555,1.05,1023,1023,1012,995,977
8590,1.05,1023,1023,1012,995,978
8625,1.05,1023,1023,1012,994,980
8658,1.05,1023,1023,1012,993,981
8693,1.05,1022,1023,1011,993,982
8727,1.05,1023,1023,1009,993,983
8762,1.05,1023,1023,1009,994,985
8796,1.05,1022,1023,1008,995,986
8830,1.06,1022,1023,1008,997,987
8864,1.06,1023,1023,1009,998,988
8899,1.05,1023,1023,1009,999,988
8933,1.05,1023,1023,1009,999,987
8968,1.05,1023,1022,1010,999,985
9001,1.05,1023,1022,1009,999,982
9036,1.06,1023,1021,1009,997,981
9070,1.06,1023,1021,1010,997,979
9105,1.06,1023,1023,1010,996,978
9139,1.06,1023,1022,1011,995,977
9174,1.06,1023,1022,1012,994,977
9207,1.06,1023,1022,1012,994,979
9242,1.06,1023,1023,1011,993,980
9276,1.06,1023,1023,1011,993,982
9311,1.05,1023,1023,1010,993,984
9345,1.05,1023,1023,1009,994,984
9379,1.05,1023,1023,1010,996,986
9413,1.05,1023,1023,1010,998,987
9448,1.05,1023,1023,1009,998,987
9482,1.05,1023,1023,1009,999,987
9517,1.05,1022,1023,1010,1000,984
9551,1.05,1022,1023,1009,997,983
9586,1.05,1023,1022,1009,996,982
9620,1.05,1023,1022,1009,995,977
9655,1.05,1023,1023,1009,995,977
9690,1.05,1023,1022,1010,994,976
9723,1.05,1023,1023,1011,993,976
