0,0,0
355397,515,524,507
356399,512,522,505
357399,517,522,506
358401,513,522,506
359402,512,524,505
360402,509,523,505
361404,512,523,503
362405,513,522,505
363406,515,523,508
364407,516,525,506
365409,512,523,508
366409,511,521,508
367411,517,523,507
368412,515,524,505
369413,513,524,506
370414,515,523,506
371416,514,521,505
372416,517,524,507
373417,515,521,508
374419,515,524,507
375419,512,524,506
376421,512,521,504
377422,513,522,506
378423,515,524,505
379424,515,522,503
380426,515,522,503
381426,515,524,505
382428,515,520,507
383429,517,522,506
384430,515,522,505
385431,515,524,506
386433,517,525,507
387433,514,525,506
388434,511,522,505
389436,516,524,504
390436,517,523,504
391438,513,525,504
392439,516,521,506
393441,513,522,506
394441,514,522,507
395443,516,521,507
396444,515,522,507
397445,513,522,508
398446,511,529,504
399448,515,524,505
400448,514,524,506
401449,514,524,505
402451,515,526,507
403451,514,521,507
404453,515,522,506
405454,517,526,507
406455,517,523,507
407456,516,523,506
408458,512,523,505
409458,512,522,504
410460,513,526,505
411461,514,522,506
412462,513,525,507
413463,512,521,506
414465,515,521,507
415465,513,524,508
416466,513,526,508
417468,515,521,505
418468,514,525,505
419470,514,522,506
420471,512,521,506
421472,513,524,506
422473,514,524,505
423475,516,521,507
424475,514,524,505
425477,513,524,505
426478,516,524,506
427480,517,523,507
428480,515,524,504
429481,516,524,504
430483,514,523,505
431483,516,523,505
432485,515,524,506
433486,512,522,507
434487,516,524,508
435488,516,520,507
436490,517,522,507
437490,511,526,506
438492,511,524,504
439493,515,523,503
440494,517,523,504
441495,512,522,505
442497,513,524,506
443497,511,524,508
444498,511,520,507
445500,514,522,506
446500,515,524,508
447502,516,524,508
448503,517,524,505
449504,511,525,503
450505,512,522,504
451507,513,524,504
452507,514,526,507
453509,513,524,507
454510,512,523,507
455511,509,522,507
456512,516,521,508
457513,516,521,505
458514,517,525,505
459515,517,523,506
460517,514,522,504
461517,513,522,504
462519,514,523,508
463520,516,525,506
464522,512,523,508
465522,513,523,507
466524,512,522,505
467525,514,523,503
468526,517,525,506
469527,514,521,504
470529,514,522,505
471529,514,520,508
472530,513,522,505
473532,516,525,505
474532,517,523,505
475534,513,521,506
476535,514,523,507
477536,514,521,505
478537,516,521,503
479539,516,523,505
480539,516,522,504
481541,513,521,506
482542,510,522,507
483543,510,523,506
484544,515,524,508
485545,517,522,505
486546,516,523,508
487547,513,522,506
488549,515,523,504
489549,513,525,503
490551,517,524,505
491552,513,524,506
492553,515,522,507
493554,513,520,508
494556,517,524,508
495556,515,524,506
496558,517,522,508
497559,513,520,504
498561,515,522,504
499561,515,525,506
500562,516,525,505
501564,515,524,507
502564,513,523,507
503566,514,520,508
504567,516,524,507
505568,512,525,507
506569,515,523,506
507571,514,522,506
508571,516,521,504
509573,513,522,503
510574,515,523,506
511575,513,524,506
512576,513,523,505
513577,517,521,506
514578,517,523,508
515579,515,522,506
516581,513,523,507
517581,515,524,504
518583,515,521,505
519584,513,522,503
520585,517,524,504
521586,513,524,505
522588,513,521,506
523588,511,522,507
524590,513,524,507
525591,515,526,506
526592,515,524,507
527593,515,521,505
528594,514,520,504
529595,516,524,505
530596,513,525,506
531598,517,522,506
532598,514,523,507
533600,512,521,508
534601,510,522,508
535603,514,526,505
536603,515,522,505
537605,512,524,504
538606,510,522,504
539607,514,524,506
540608,512,525,508
541609,515,526,508
542610,512,524,507
543611,516,520,505
544613,509,523,506
545613,513,522,508
546615,512,523,504
547616,517,521,504
548617,516,523,504
549618,515,520,505
550620,513,521,505
551620,517,524,507
552622,514,520,507
553623,513,521,508
554624,513,521,508
555625,513,521,507
556626,515,525,504
557627,513,523,504
558628,515,520,503
559630,513,520,503
560630,513,524,506
561632,513,525,507
562633,512,523,506
563634,514,522,507
564635,514,521,505
565637,515,524,507
566637,516,522,504
567639,512,524,502
568640,514,523,505
569641,512,521,506
570642,513,522,506
571643,512,524,506
572645,517,521,505
573645,515,521,505
574647,514,524,505
575648,514,522,506
576649,517,522,504
577650,515,524,504
578652,516,521,504
579652,510,523,505
580654,516,521,507
581655,513,525,506
582656,515,523,505
583657,513,523,506
584658,515,522,505
585659,517,525,507
586660,517,524,505
587662,515,524,503
588662,515,521,505
589664,512,524,503
590665,515,523,505
591666,514,525,508
592667,515,522,507
593669,513,523,506
594669,511,522,505
595671,511,523,505
596672,515,522,503
597672,515,521,504
598674,513,522,503
599675,516,522,505
600676,511,520,507
601677,515,524,506
602679,515,522,507
603680,513,525,506
604681,515,524,507
605682,510,521,504
606684,513,524,503
607684,514,521,502
608686,513,524,505
609687,514,524,506
610688,514,524,506
611689,512,525,507
612690,515,524,507
613691,512,524,507
614692,511,521,508
615694,514,523,503
616694,515,525,503
617696,516,524,503
618697,512,522,505
619698,513,524,505
620699,512,520,505
621701,515,523,506
622701,513,525,507
623703,512,525,508
624704,514,524,506
625704,512,524,504
626706,514,524,504
627707,515,525,504
628708,511,526,507
629709,514,522,508
630711,513,521,506
631711,514,524,507
632713,516,522,506
633714,517,521,507
634715,516,526,504
635716,516,523,505
636718,510,523,505
637719,512,524,504
638720,515,524,505
639721,516,520,507
640722,514,523,507
641723,512,524,508
642724,516,525,506
643726,515,524,506
644726,511,522,505
645728,513,524,503
646729,512,523,504
647730,511,522,503
648731,514,526,506
649733,514,522,508
650733,515,521,506
651735,515,520,506
652736,512,525,505
653736,512,525,503
654738,515,521,504
655739,515,523,506
656740,513,522,505
657741,515,521,506
658743,514,525,508
659743,515,523,506
660745,512,524,507
661746,513,521,506
662747,512,523,506
663748,511,524,504
664750,514,522,504
665750,515,522,506
666752,516,525,505
667753,513,524,505
668753,512,526,504
669755,514,523,507
670756,511,524,505
671758,513,524,506
672758,516,521,506
673760,515,523,505
674761,514,523,503
675762,513,524,505
676763,515,522,504
677765,516,523,506
678765,516,523,507
679767,513,525,508
680768,514,522,507
681768,514,523,505
682770,515,524,506
683771,515,524,503
684772,513,525,505
685773,512,525,505
686775,513,524,505
687775,515,525,508
688777,517,520,504
689778,514,524,508
690779,515,523,506
691780,517,523,508
692782,514,524,503
693782,515,523,503
694784,513,525,505
695785,516,524,504
696785,511,521,506
697787,517,522,508
698788,511,522,506
699789,515,524,506
700790,515,525,508
701792,517,521,506
702792,515,525,505
703794,515,520,504
704795,515,524,503
705797,515,522,506
706797,512,523,507
707799,513,523,507
708800,515,525,508
709800,515,524,507
710802,513,524,508
711803,514,523,505
712804,512,521,505
713805,513,522,505
714807,513,525,506
715807,516,522,505
716809,514,521,506
717810,513,522,506
718811,516,525,507
719812,514,523,505
720814,513,523,507
721814,515,521,506
722816,515,524,505
723817,514,525,502
724817,516,525,504
725819,513,525,507
726820,515,521,507
727821,514,521,507
728822,513,521,505
729824,515,523,507
730824,511,521,504
731826,512,521,505
732827,514,524,505
733828,516,525,505
734829,512,523,504
735831,513,522,506
736831,510,522,508
737832,514,525,505
738834,520,520,507
739835,514,522,506
740836,516,523,506
741837,514,526,506
742839,511,525,503
743839,514,523,504
744841,515,525,506
745842,514,524,505
746843,511,523,506
747844,513,525,506
748846,514,522,506
749846,517,521,507
750848,513,525,505
751849,516,522,502
752849,512,525,505
753851,511,524,504
754852,517,521,507
755853,512,524,505
756854,517,521,507
757856,511,524,507
758856,510,522,506
759858,515,522,507
760859,516,523,503
761860,513,525,503
762861,516,521,503
763863,511,525,504
764863,513,522,506
765864,514,524,507
766866,514,526,505
767866,513,522,506
768868,514,523,506
769869,513,523,507
770870,516,520,503
771871,512,522,504
772873,512,525,505
773874,517,524,503
774875,510,521,507
775876,512,523,506
776878,516,522,506
777878,514,525,505
778880,511,522,507
779881,511,524,503
780881,516,523,505
781883,513,524,504
782884,512,524,505
783885,514,525,507
784886,517,522,508
785888,512,522,507
786888,513,523,506
787890,512,524,504
788891,517,523,507
789892,515,521,504
790893,511,522,505
791895,513,522,505
792895,512,524,506
793896,517,523,506
794898,514,524,506
795898,516,524,506
796900,512,521,506
797901,513,521,507
798902,512,523,508
799903,511,521,505
800905,517,521,505
801905,512,521,503
802907,516,523,504
803908,517,523,506
804909,517,524,505
805910,516,524,507
806912,513,521,506
807912,514,524,506
808913,517,525,505
809915,516,524,505
810916,512,522,503
811917,512,520,504
812918,513,522,506
813920,515,521,505
814920,516,521,506
815922,514,523,507
816923,514,523,504
817924,515,521,505
818925,514,523,503
819927,515,522,505
820927,516,523,505
821928,515,522,504
822930,516,524,506
823930,515,521,508
824932,517,523,505
825933,515,525,507
826934,513,524,507
827935,512,523,506
828937,514,522,505
829937,511,523,504
830939,512,521,503
831940,515,522,505
832941,512,522,506
833942,516,521,507
834944,516,524,506
835944,515,523,508
836945,513,521,506
837947,513,520,506
838947,515,524,503
839949,515,525,504
840950,512,524,503
841951,515,522,506
842952,512,520,507
843954,513,521,507
844955,516,524,506
845956,516,524,506
846957,513,521,508
847959,512,525,504
848959,511,522,503
849960,515,522,505
850962,514,525,504
851962,513,524,507
852964,512,521,505
853965,513,526,507
854966,511,522,506
855967,511,522,507
856969,514,524,506
857969,513,524,503
858971,515,524,503
859972,512,521,504
860973,515,525,503
861974,514,522,505
862976,515,521,508
863976,514,524,507
864977,515,526,506
865979,517,521,506
866979,513,523,506
867981,515,523,505
868982,515,525,505
869983,510,524,504
870984,515,524,502
871986,514,521,506
872986,516,522,507
873988,513,525,508
874989,511,525,506
875990,514,523,507
876991,514,522,504
877992,515,521,504
878994,517,523,505
879994,516,522,505
880996,512,524,507
881997,512,521,506
882998,512,525,507
883999,512,524,505
885001,513,523,506
886001,513,522,506
887003,513,524,505
888004,513,520,505
889005,517,521,504
890006,516,523,503
891008,513,522,507
892008,510,522,507
893009,514,525,506
894011,515,523,505
895011,515,524,507
896013,514,523,505
897014,515,522,505
898015,516,521,503
899016,513,525,505
900018,510,523,504
901018,516,523,504
902020,516,522,507
903021,511,523,506
904022,515,521,505
905023,513,522,506
906024,517,522,508
907025,517,523,504
908026,517,525,503
909028,513,525,505
910028,513,523,505
911030,512,521,507
912031,514,522,507
913033,512,525,508
914033,516,525,507
915035,511,522,507
916036,512,525,505
917037,517,526,505
918038,514,525,505
919040,514,523,506
920040,515,524,507
921041,513,522,506
922043,516,525,505
923043,513,526,506
924045,517,523,508
925046,512,524,507
926047,512,523,504
927048,512,525,503
928050,517,523,505
929050,512,523,505
930052,512,526,507
931053,515,523,506
932054,514,523,505
933055,510,523,507
934056,512,521,507
935057,515,523,505
936058,516,523,504
937060,513,524,506
938060,514,523,504
939062,515,523,506
940063,514,524,507
941064,513,525,505
942065,514,525,505
943067,513,523,505
944067,512,522,507
945069,514,525,502
946070,514,525,504
947072,516,523,505
948072,512,524,503
949073,512,521,507
950075,515,521,506
951075,513,524,507
952077,515,524,508
953078,515,524,507
954079,515,524,506
955080,517,526,503
956082,514,521,506
957082,514,521,505
958084,511,525,505
959085,515,524,508
960086,516,525,506
961087,514,522,507
962088,513,523,505
963089,514,524,507
964090,511,525,506
965092,510,524,504
966092,515,522,506
967094,514,524,505
968095,513,525,502
969096,514,522,507
970097,515,521,506
971099,513,521,507
972099,513,525,508
973101,511,524,506
974102,514,523,505
975102,512,524,504
976104,514,525,503
977105,511,524,503
978106,513,523,505
979107,517,521,508
980109,512,522,508
981109,516,523,505
982111,515,525,507
983112,510,523,507
984114,512,524,505
985114,513,525,503
986116,516,524,504
987117,516,522,505
988118,513,522,508
989119,512,524,508
990120,513,524,507
991121,514,523,507
992122,510,524,507
993124,517,524,508
994124,512,523,506
995126,512,524,504
996127,514,523,506
997128,513,524,505
998129,514,524,507
999131,512,523,507
1000131,512,522,508
1001133,516,520,508
1002134,513,521,506
1003134,513,521,508
1004136,513,526,506
1005137,510,521,501
